38;Manipulate I/O Image; ['inhibit-response-function']; ['Windows', 'Field Controller/RTU/PLC/IED'];;;14,372,259;0,85;0,44;0,85;0,55;T0835;;[]
39;Manipulation of Control; ['impact-ics'];['Windows', 'Network',  'Human-Machine Interface', 'Field Controller/RTU/PLC/IED', 'Control Server', 'Engineering Workstation'];;;14,372,259;0,85;0,44;0,85;0,55;T0831;;['CAPEC-94','CAPEC-148','CAPEC-165']
40;Manipulation of View; ['impact-ics']; ['Windows', 'Engineering Workstation', 'Human-Machine Interface', 'Sensor'];;;283,525,473;0,85;0,77;0,85;0,62;T0832;;[]
41;Masquerading; ['evasion-ics', 'impair-process-control']; ['Windows', 'Human-Machine Interface', 'Control Server'];;;14,372,259;0,85;0,44;0,85;0,55;T0849;;['CAPEC-165', 'CAPEC-177', 'CAPEC-690', 'CAPEC-691']
42;Modify Alarm Settings; ['inhibit-response-function']; ['Windows', 'Human-Machine Interface', 'Control Server', 'Safety Instrumented System/Protection Relay', 'Field Controller/RTU/PLC/IED'];;;22,211,673;0,85;0,44;0,85;0,85;T0838;;[]
43;Modify Parameter; ['impair-process-control']; ['Windows', 'Control Server', 'Field Controller/RTU/PLC/IED', 'Safety Instrumented System/Protection Relay', 'Human-Machine Interface'];;;22,211,673;0,85;0,44;0,85;0,85;T0836;;[]
44;Module Firmware; ['persistence-ics', 'impair-process-control']; ['Windows', 'Field Controller/RTU/PLC/IED', 'Safety Instrumented System/Protection Relay'];;;0,70554726;0,27;0,44;0,85;0,85;T0839;;['CAPEC-438']
45;Monitor Process State; ['collection-ics']; ['Windows', 'Human-Machine Interface', 'Control Server', 'Data Historian', 'Field Controller/RTU/PLC/IED', 'Safety Instrumented System/Protection Relay'];;;1,234,707,705;0,27;0,77;0,85;0,85;T0801;;[]
46;Network Connection Enumeration; ['discovery-ics']; ['Windows', 'Human-Machine Interface'];;;2,515,145,325;0,85;0,77;0,85;0,55;T0840;;['CAPEC-158','CAPEC-309']
47;Network Sniffing; ['discovery-ics']; ['Windows', 'Field Controller/RTU/PLC/IED'];;;0,8733;0,85;0,77;0,85;0,62;T0842;;['CAPEC-158','CAPEC-309']
48;Point & Tag Identification; ['collection-ics']; ['Windows', 'Data Historian', 'Control Server', 'Human-Machine Interface'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0861;;[]
49;Program Download; ['persistence-ics', 'impair-process-control', 'inhibit-response-function']; ['Windows', 'Field Controller/RTU/PLC/IED', 'Safety Instrumented System/Protection Relay'];;;22,211,673;0,85;0,44;0,85;0,85;T0843;;[]
50;Program Upload; ['collection-ics']; ['Windows', 'Safety Instrumented System/Protection Relay', 'Field Controller/RTU/PLC/IED'];;;22,211,673;0,85;0,44;0,85;0,85;T0845;;['CAPEC-441']
51;Project File Infection; ['persistence-ics', 'execution-ics']; ['Windows', 'Engineering Workstation', 'Human-Machine Interface'];;;2,515,145,325;0,85;0,77;0,85;0,55;T0873;;['CAPEC-165','CAPEC-441']
52;Remote System Discovery; ['discovery-ics']; ['Windows', 'Control Server', 'Data Historian', 'Safety Instrumented System/Protection Relay', 'Field Controller/RTU/PLC/IED', 'Human-Machine Interface'];;;25,715;0,85;0,77;0,85;0,62;T0846;;['CAPEC-158']
53;Replication Through Removable Media; ['initial-access-ics']; ['Windows', 'Human-Machine Interface', 'Data Historian', 'Control Server'];;;0,9145983;0,85;0,77;0,85;0,2;T0847;;['CAPEC-457']
54;Rootkit; ['evasion-ics', 'inhibit-response-function']; ['Windows', 'Field Controller/RTU/PLC/IED'];;;17,224;0,85;0,44;0,85;0,55;T0851;;['CAPEC-552']
55;Screen Capture; ['collection-ics']; ['Windows', 'Human-Machine Interface'];;;2,515,145,325;0,85;0,77;0,85;0,55;T0852;;['CAPEC-648']
56;Scripting; ['execution-ics']; ['Windows', 'Engineering Workstation'];;;2,515,145,325;0,85;0,77;0,85;0,55;T0853;;['CAPEC-441']
57;Service Stop; ['impair-process-control']; ['Windows', 'Human-Machine Interface', 'Control Server', 'Data Historian', 'Engineering Workstation'];;;17,224;0,85;0,77;0,85;0,55;T0881;;['CAPEC-227']
58;Spearphishing Attachment; ['initial-access-ics']; ['Windows', 'Engineering Workstation', 'Human-Machine Interface', 'Control Server', 'Data Historian'];;;25,715;0,85;0,77;0,62;0,85;T0865;;['CAPEC-163']
59;Spoof Reporting Message; ['evasion-ics', 'impair-process-control']; ['Windows', 'Control Server'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0856;;['CAPEC-148']
60;Standard Application Layer Protocol; ['command-and-control-ics']; ['Windows', 'Human-Machine Interface', 'Control Server', 'Data Historian', 'Engineering Workstation'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0869;;['CAPEC-65']
61;Supply Chain Compromise; ['initial-access-ics']; ['Windows', 'Control Server', 'Data Historian', 'Engineering Workstation', 'Field Controller/RTU/PLC/IED', 'Human-Machine Interface', 'Input/Output Server', 'Safety Instrumented System/Protection Relay'];;;22,211,673;0,85;0,44;0,85;0,85;T0862;;['CAPEC-438','CAPEC-439']
62;System Firmware; ['persistence-ics', 'inhibit-response-function']; ['Windows', 'Safety Instrumented System/Protection Relay', 'Field Controller/RTU/PLC/IED', 'Input/Output Server'];;;22,211,673;0,85;0,44;0,85;0,85;T0857;;['CAPEC-184','CAPEC-438']
63;Theft of Operational Information; ['impact-ics']; ['Windows',  'Data Historian', 'Engineering Workstation', 'Control Server'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0882;;['CAPEC-169']
64;Unauthorized Command Message; ['impair-process-control']; ['Windows', 'Field Controller/RTU/PLC/IED'];;;22,211,673;0,85;0,44;0,85;0,85;T0855;;[]
65;User Execution; ['execution-ics']; ['Windows', 'Engineering Workstation', 'Human-Machine Interface'];;;183,457,659;0,85;0,77;0,62;0,55;T0863;;['CAPEC-98','CAPEC-440']
66;Valid Accounts; ['persistence-ics', 'lateral-movement-ics']; ['Windows', 'Control Server', 'Data Historian', 'Engineering Workstation', 'Field Controller/RTU/PLC/IED', 'Human-Machine Interface', 'Input/Output Server', 'Safety Instrumented System/Protection Relay'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0859;;['CAPEC-70', 'CAPEC-560']
67;Wireless Compromise; ['initial-access-ics']; ['Windows', 'Network'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0860;;['CAPEC-158','CAPEC-180']
68;Change Operating Mode; ['execution-ics', 'evasion-ics']; ['Safety Instrumented System/Protection Relay', 'Field Controller/RTU/PLC/IED'. 'Sensor'];;;22,211,673;0,85;0,44;0,85;0,85;T0858;;['CAPEC-148']
69;Lateral Tool Transfer; ['lateral-movement-ics']; ['Human-Machine Interface', 'Control Server', 'Data Historian'];;;2,515,145,325;0,85;0,77;0,85;0,55;T0867;;['CAPEC-177']
70;Loss of Protection; ['impact-ics']; ['None'];;;22,211,673;0,85;0,44;0,85;0,85;T0837;;['CAPEC-184']
71;Modify Controller Tasking; ['execution-ics']; ['Windows', 'Field Controller/RTU/PLC/IED'];;;14,372,259;0,85;0,44;0,85;0,55;T0821;;['CAPEC-184', 'CAPEC-504']
72;Modify Program; ['persistence-ics']; ['Field Controller/RTU/PLC/IED'];;;162,014,556;0,85;0,44;0,85;0,62;T0889;;['CAPEC-184']
73;Native API; ['execution-ics']; ['Control Server', 'Data Historian', 'Field Controller/RTU/PLC/IED', 'Human-Machine Interface', 'Input/Output Server', 'Safety Instrumented System/Protection Relay'];;;14,372,259;0,85;0,44;0,85;0,55;T0834;;['CAPEC-57']
74;Remote Services; ['initial-access-ics', 'lateral-movement-ics']; ['Human-Machine Interface', 'Control Server', 'Engineering Workstation'];;;162,014,556;0,85;0,44;0,85;0,62;T0886;;['CAPEC-555']
75;Remote System Information Discovery; ['discovery-ics']; ['Safety Instrumented System/Protection Relay', 'Field Controller/RTU/PLC/IED'];;;283,525,473;0,85;0,77;0,85;0,62;T0888;;['CAPEC-580']
76;Rogue Master; ['initial-access-ics']; ['Human-Machine Interface', 'Control Server', 'Engineering Workstation'];;;1,181,753,232;0,62;0,44;0,85;0,62;T0848;;['CAPEC-504']
77;Transient Cyber Asset; ['initial-access-ics']; ['Engineering Workstation', 'Network'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0864;;[]
78;Wireless Sniffing; ['discovery-ics', 'collection-ics']; ['None'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0887;;['CAPEC-158']
